_G Int,G FWHM,G Shift,_2D Int,2D FWHM,2D Shift,_2D_MassCenter,_D Int,2D/G,D/G,_R Int,_Rp Int,R/G,Rp/G,_Target
1505.0462,17.1137,1586.616,872.0451,55.9139,2695.05,2692.856,54.0052,0.579414173,0.035882752,0,0,0,0,BLG-AB
1731.0209,15.0233,1586.156,864.083,56.0018,2693.514,2691.5575,52.0041,0.499175371,0.030042445,0,0,0,0,BLG-AB
1588.0284,16.3529,1585.595,944.0979,54.3737,2695.045,2693.3226,62.0034,0.594509456,0.039044264,0,0,0,0,BLG-AB
1797.0019,14.8955,1586.817,916.0828,54.9547,2697.291,2694.8166,62.0034,0.509783991,0.034503803,0,0,0,0,BLG-AB
1810.0059,14.2158,1585.24,880.0073,56.193,2692.68,2691.0101,60.0024,0.486190294,0.033150389,0,0,0,0,BLG-AB
1653.048,16.2994,1586.172,925.0281,55.1597,2695.843,2693.925,71.0022,0.559589377,0.042952292,0,0,0,0,BLG-AB
1605.0296,16.8724,1587.581,927.0923,55.6382,2699.38,2696.9063,54.0052,0.577616949,0.033647479,0,0,0,0,BLG-AB
1593.0377,16.5527,1585.818,921.0962,55.4533,2694.185,2692.421,55.0057,0.578201131,0.034528812,0,0,0,0,BLG-AB
1672.0225,16.0841,1585.947,912.0527,54.9776,2694.46,2692.7262,68.0006,0.545478724,0.040669668,0,0,0,0,BLG-AB
1656.0334,16.5697,1584.329,908.0225,56.3536,2692.121,2690.4466,76.0049,0.548311707,0.045895753,0,0,0,0,BLG-AB
1763.0501,15.0535,1586.175,953.0432,55.0489,2696.518,2694.3658,69.0011,0.540565013,0.039137345,0,0,0,0,BLG-AB
1605.0296,15.8839,1588.042,917.0659,54.7269,2698.652,2696.5445,54.0052,0.571370086,0.033647479,0,0,0,0,BLG-AB
1555.0379,17.4899,1587.386,930.0413,55.5226,2699.173,2696.7899,73.0033,0.598082722,0.046946316,0,0,0,0,BLG-AB
1573.0005,17.9102,1584.854,919.0317,56.6424,2694.1,2692.1448,86.0042,0.584253915,0.054675253,0,0,0,0,BLG-AB
1695.0451,15.7339,1586.899,899.0771,54.9506,2696.957,2694.8317,67.0001,0.530414854,0.039527031,0,0,0,0,BLG-AB
1779.0394,15.6875,1584.896,970.0488,54.4492,2694.185,2692.22,60.0024,0.545265496,0.033727415,0,0,0,0,BLG-AB
1617.0217,16.0442,1585.825,939.0847,54.2677,2695.074,2692.8117,60.0024,0.580749597,0.037106738,0,0,0,0,BLG-AB
1529.03,17.474,1586.443,912.0527,54.596,2695.957,2693.4999,58.0013,0.596491043,0.037933396,0,0,0,0,BLG-AB
1600.0203,16.8995,1584.682,941.0508,55.0136,2694.121,2691.9556,54.0052,0.588149288,0.033752822,0,0,0,0,BLG-AB
1509.0435,18.1115,1585.625,947.0469,56.1798,2695.69,2693.4029,61.0029,0.627580915,0.040424878,0,0,0,0,BLG-AB
1592.0258,16.9225,1586.62,938.0034,54.3176,2697.217,2694.8364,74.0038,0.589188567,0.046484046,0,0,0,0,BLG-AB
1633.0108,16.2398,1586.576,993.0508,54.1742,2697.81,2695.7447,60.0024,0.608110369,0.036743419,0,0,0,0,BLG-AB
1480.0504,18.5122,1585.361,947.0469,55.5787,2695.422,2693.1457,60.0024,0.639874764,0.040540782,0,0,0,0,BLG-AB
1687.0506,15.2649,1584.99,956.0903,55.6299,2695.037,2693.1267,53.0047,0.566722954,0.03141856,0,0,0,0,BLG-AB
1681.0292,15.306,1585.894,938.0034,55.722,2693.81,2693.1777,83.0026,0.55799352,0.049376061,0,0,0,0,BLG-AB
1844.0083,15.0878,1585.287,956.0903,55.0808,2694.513,2692.3352,65.005,0.518484814,0.035252011,0,0,0,0,BLG-AB
1886.0055,14.6335,1585.44,956.0903,55.5261,2694.973,2692.7638,57.0008,0.506939296,0.03022303,0,0,0,0,BLG-AB
1716.0437,15.1115,1585.458,954.0261,53.4713,2692.05,2691.6192,75.0043,0.555945108,0.043707686,0,0,0,0,BLG-AB
1916.9719,14.451,1584.042,980.0752,54.4125,2692.8,2690.9409,62.0034,0.511262163,0.032344449,0,0,0,0,BLG-AB
1928.9638,14.0032,1585.656,927.0923,54.2913,2694.957,2692.7214,70.0017,0.480616744,0.036289795,0,0,0,0,BLG-AB
1757.0289,15.4221,1586.407,963.0696,53.9277,2696.446,2694.572,67.0001,0.548123938,0.038132611,0,0,0,0,BLG-AB
1719.029,16.2093,1585.566,928.0752,55.596,2694.064,2692.1294,59.0018,0.539883388,0.034322748,0,0,0,0,BLG-AB
1913.0253,14.1348,1584.906,973.0962,54.4235,2694.73,2692.9767,70.0017,0.508668756,0.036592145,0,0,0,0,BLG-AB
1789.0073,15.3211,1585.674,937.0205,55.132,2694.863,2692.6993,66.0056,0.52376561,0.036895098,0,0,0,0,BLG-AB
