G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
17.103,1586.49,29.4234,2682.027,2.602004037,0.065665228,0,0,SLG
18.0534,1585.733,33.2542,2683.638,2.865467618,0.076329737,0,0,SLG
11.816,1595.84,32.7762,2686.913,1.059074822,0.059949834,0,0,SLG
15.9198,1587.253,29.2112,2681.707,2.577169724,0.050053639,0,0,SLG
14.9313,1584.487,32.1968,2678.591,2.445099198,0.059008637,0,0,SLG
15.122,1586.645,29.7381,2681.596,2.277201574,0.070490641,0,0,SLG
14.3882,1585.712,30.3825,2680.03,2.287503795,0.062370458,0,0,SLG
14.1982,1588.058,28.4619,2684.249,2.190785177,0.078066871,0,0,SLG
12.9748,1594.9,34.2769,2683.49,1.025682246,0.064103692,0,0,SLG
15.1715,1585.756,30.7072,2678.312,2.346262442,0.05145757,0,0,SLG
13.693,1582.711,26.901,2674.124,2.278204804,0.05733333,0,0,SLG
17.9569,1584.993,28.4994,2679.63,2.708737864,0.601968447,0,0,SLG
12.749,1592.746,32.8994,2679.651,1.089047596,0.063729966,0,0,SLG
14.928,1586.926,29.8913,2679.906,2.068531389,0.091787023,0,0,SLG
14.4248,1583.219,28.416,2677.529,2.435040244,0.450617366,0,0,SLG
13.77,1587.437,29.4965,2681.179,2.079933944,0.076839454,0,0,SLG
14.3753,1591.578,32.0324,2684.954,1.578151727,0.079600791,0,0,SLG
14.6574,1586.042,29.1627,2680.745,2.370943925,0.067972343,0,0,SLG
15.3965,1586.76,29.1431,2679.942,2.509173314,0.047934883,0,0,SLG
16.8204,1587.105,29.9871,2680.714,2.699077899,0.055247712,0,0,SLG
14.0122,1586.285,28.7256,2681.129,2.038075829,0.059032453,0,0,SLG
13.2731,1590.415,30.2439,2683.171,1.693210367,0.073073368,0,0,SLG
14.5328,1586.882,29.858,2682.332,2.297764597,0.068858176,0,0,SLG
15.1144,1583.946,28.181,2675.77,2.519875122,0.074272165,0,0,SLG
13.0393,1594.781,31.5061,2684.886,1.096442093,0.057660647,0,0,SLG
12.8466,1591.558,32.0836,2679.279,1.217363571,0.064839634,0,0,SLG
14.8184,1587.461,29.0224,2683.153,2.498083851,0.064763783,0,0,SLG
12.5024,1596.92,34.0013,2687.842,1.0393918,0.060922498,0,0,SLG
15.5325,1583.82,28.2267,2677.672,2.712806671,0.073858301,0,0,SLG
15.5279,1588.511,30.124,2683.188,2.414678579,0.053469058,0,0,SLG
13.7883,1590.945,32.8233,2681.501,1.366032985,0.076260506,0,0,SLG
14.9083,1586.526,28.6943,2681.74,2.530664386,0.065789712,0,0,SLG
15.1375,1584.314,27.9436,2678.722,2.663102888,0.079034152,0,0,SLG
14.3505,1586.913,28.8441,2680.542,2.337241456,0.072547976,0,0,SLG
16.2038,1582.372,29.2332,2673.793,2.400896326,0.058887505,0,0,SLG
15.7293,1587.225,30.2112,2681.592,2.270348068,0.09507651,0,0,SLG
13.25,1589.911,32.281,2677.808,1.312963041,0.061227687,0,0,SLG
14.6629,1588.597,32.2166,2679.126,1.632233654,0.071141274,0,0,SLG
17.5072,1590.07,37.2091,2681.186,1.116293664,0.073469751,0,0,SLG
